school,major
SOC,journalism
SOC,PR
SOC,film
SOC,commStud
SPA,CLEG
SPA,poliSci
SPA,law
SPA,justLaw
KSB,finance
KSB,accounting
KSB,busiAdmin
KSB,busiEnt
CAS,math
CAS,science
CAS,arts
CAS,humanities
SOE,primary
SOE,secondary
SIS,IR
