area,state
northEast,massachusetts
northEast,NJ
northEast,NY
northEast,connecticut
northEast,pennslyvania
south,texas
south,georgia
south,florida
south,carolinas
south,virginia
midWest,ohio
midWest,wisconsin
midWest,illinois
midWest,indiana
westCoast,california
westCoast,washington
westCoast,oregon
westCoast,colorado
westCoast,nevada
international,asia
international,southAsia
international,europe
international,latinAmer
